ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
DE000LS9ADC5,LS9ADC,"Wachstum und Performance ","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADD3,LS9ADD,"Selected Life Sciences","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADH4,LS9ADH,Swing-Trading,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADJ0,LS9ADJ,"Mister3M Gold und Silber Bulle 1a","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADL6,LS9ADL,"Chancen Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADM4,LS9ADM,"Fundamental unterbewertete Aktien","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADN2,LS9ADN,"Konfusus says - Top6 Assets","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADP7,LS9ADP,Speedifolio,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADQ5,LS9ADQ,"CHARITY TRADING – MARKTFÜHRER","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADT9,LS9ADT,"studentisches Aktiendepot","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADV5,LS9ADV,"PurKonInvest Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADZ6,LS9ADZ,Langzeitinvestment,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEA7,LS9AEA,Griechenland,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEB5,LS9AEB,Renditebringer,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEC3,LS9AEC,traders-chill-out,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEG4,LS9AEG,"Rohstoffe Wachstumsdepot LongShort","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEJ8,LS9AEJ,"finkener-trading strategy","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEK6,LS9AEK,Turn-Aaround,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEL4,LS9AEL,WPHandel-Mixed,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEM2,LS9AEM,Finanzbereit-Balanced,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEN0,LS9AEN,"Heizung - Heizöl - Hedge Zertifikat","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEP5,LS9AEP,"Aktienkorb D/EU","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEQ3,LS9AEQ,Basisportfolio,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AER1,LS9AER,Buchwert-Differenz-Fundamental-Datenbank,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AES9,LS9AES,TrendPowerSystem,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AET7,LS9AET,"Small Caps on Stereoids","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEV3,LS9AEV,"Aktien + Indizes Swing","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEW1,LS9AEW,"Metallrausch: Minen & Metalle LongShort","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEY7,LS9AEY,Ultra,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEZ4,LS9AEZ,"Chancen vs. Risiken - Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFA4,LS9AFA,"BlueChip Trading","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFB2,LS9AFB,"Profitieren vom demographischen Wandel","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFG1,LS9AFG,"Von Erfahrung profitieren","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFL1,LS9AFL,"VALUE Hidden Champions","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFM9,LS9AFM,"Master Portfolio 1","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFN7,LS9AFN,B2DInvestments,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFQ0,LS9AFQ,"Alpha Daytrader","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFR8,LS9AFR,"VV-Strategie - High Performance","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFS6,LS9AFS,"Korrelationsoptimierte Basisinvestition","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFT4,LS9AFT,"MD Momentum","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFV0,LS9AFV,"HaGu High Dividend","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFW8,LS9AFW,"Absolute Return mit System","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFX6,LS9AFX,"Value Momentum Langfrist Aktien","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFY4,LS9AFY,"Portfolio Wachstum","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGB0,LS9AGB,"BärenATXwerte","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGC8,LS9AGC,"Trade3000 ETF-Werte D30","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGF1,LS9AGF,"Internationale trendstarke Topaktien","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGG9,LS9AGG,"Durchschnittliche Analystenmeinung","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGH7,LS9AGH,"Unterbewertete Marken-Aktien & Wachstum","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGJ3,LS9AGJ,"Mister3M Momentum Number 1********","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGK1,LS9AGK,"Deutsche Aktien Long-Term Growth","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGL9,LS9AGL,"Saisonalstrategie Indizes Dtl. u. Europa","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGM7,LS9AGM,"Kurschancen bei Turnaround-Kandidaten","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGP0,LS9AGP,"CosmoTrend Long-Short ","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGQ8,LS9AGQ,"CM Global Macro","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGT2,LS9AGT,Massenpsychologie,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGU0,LS9AGU,"TK-Strategie - Chancenorientiert","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGV8,LS9AGV,"Chancenorientierte Investments","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGW6,LS9AGW,"Trendsurfer Aktien Welt","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGX4,LS9AGX,"Trendsurfer Performance-Champions","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AGZ9,LS9AGZ,"RS Handelssystem","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHA0,LS9AHA,"Fundamental/Technical Mix - Growth","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHB8,LS9AHB,"Kurzfristig Dax-Werte","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHC6,LS9AHC,"DAX Werte-Minimum-Varianz","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHD4,LS9AHD,"Considerate - Zukunftsorientiert","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHE2,LS9AHE,"niedrigstes KBV in Dtl. - long/short","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHF9,LS9AHF,"MD Altius","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHG7,LS9AHG,"Trendsurfer Ertragreich&Risikominimiert","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHJ1,LS9AHJ,"Value Stocks","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHK9,LS9AHK,"Value Growth Opportunities","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHM5,LS9AHM,"Aktien mit persönlichem Bezug","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHN3,LS9AHN,"Aktien Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHR4,LS9AHR,"Value Pick","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHS2,LS9AHS,"Best select dividend titles - worldwide","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHT0,LS9AHT,"Trend Select 300","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHV6,LS9AHV,"Offensive Trading-Strategie","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHW4,LS9AHW,"DAX-Werte&Co Weekly","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHX2,LS9AHX,"Value Invest & Trading SPEKULATIV","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHY0,LS9AHY,"PlatinumTrading -Daytrading-","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AHZ7,LS9AHZ,"J.Weber Investment","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJC2,LS9AJC,"GET THE BEST GLOBAL PLUS","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJD0,LS9AJD,"Investerfolg mit Aktien und ETF-Werten","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJE8,LS9AJE,"HYDY MDAX-Werte","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJF5,LS9AJF,"Qualität,  angelehnt an Susan Levermann","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJH1,LS9AJH,"Europa Dividenden","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJJ7,LS9AJJ,"Trend F - Germany","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJK5,LS9AJK,"Trends und Chancen (hohes Risiko)","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJN9,LS9AJN,"Climate Change","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJR0,LS9AJR,"Big Dogs USA 10","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJS8,LS9AJS,"Small Dogs USA 5","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJT6,LS9AJT,"HYDY Aktien","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJU4,LS9AJU,"Nordamerika Dividenden","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJV2,LS9AJV,"ETF-Werte des ICAX","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AJX8,LS9AJX,"ILIASAlexander 1st Edition","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKB2,LS9AKB,"Top Security Shares","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKF3,LS9AKF,"Europa 2022","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKH9,LS9AKH,"Trend und Value","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKJ5,LS9AKJ,"Special Situations","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKK3,LS9AKK,GewinntrotzCrash,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKL1,LS9AKL,"Know and love the product you invest in","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKN7,LS9AKN,"Mister3M Antizyklisch & Krisensicher 888","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKS6,LS9AKS,"Superporcus Weekly Performer","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKT4,LS9AKT,"Dividende und Eigenkapital Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKU2,LS9AKU,"Hard'n'Heavy - Krisensichere Investments","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKV0,LS9AKV,"Low Risk-Patience","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKW8,LS9AKW,"Nachhaltiges,  krisensicheres Wachstum","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKY4,LS9AKY,"Strategic Sustainable Growth I","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AKZ1,LS9AKZ,"Global Market Trader","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
