ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
CH1135202120,A3GW2E,"21SHARES AAVE ETP OE",ETFs,"sonstige ETFs"
CH1135202161,A3GUMV,"21SHARES HODL BSK ETP OE",ETFs,"sonstige ETFs"
CH1135202179,A3GUMU,"21SHARES HODL BSK ETP OE",ETFs,"sonstige ETFs"
CH1145930991,A3GWY7,"21SHARES COSMOS ETP OE",ETFs,"sonstige ETFs"
CH1146882308,A3GYXW,"21SHARES BOLD1 INDEX OE",ETFs,"sonstige ETFs"
CH1146882316,A3GVVU,"21SHARES ALGORAND ETP OE",ETFs,"sonstige ETFs"
CH1149139615,A3GX9S,"VALOUR INC.OE TRACKERZ.",ETFs,"sonstige ETFs"
CH1149139656,A3GYZ7,"VALOUR INC.OE TRACKERZ.",ETFs,"sonstige ETFs"
CH1149139664,A3GYUV,"VALOUR INC.OE TRACKERZ.",ETFs,"sonstige ETFs"
CH1149139672,A3G0SP,"VALOUR OE TRACKERZ.",ETFs,"sonstige ETFs"
CH1161102699,A3GW7P,"21SHARES DECENTRALAND OE",ETFs,"sonstige ETFs"
CH1168929078,A3GXVY,"21SHARES OPEN END",ETFs,"sonstige ETFs"
CH1177361008,A3GYGH,"21SHARES OPEN END",ETFs,"sonstige ETFs"
CH1183559926,A3GY6R,"21SHARES ETP OE",ETFs,"sonstige ETFs"
CH1183559942,A3GY6Q,"21SHARES ETP OE",ETFs,"sonstige ETFs"
CH1184151731,A3GY1V,"HASHDEX AG ETP OE",ETFs,"sonstige ETFs"
CH1194038563,A3G0BK,"21SHARES BITCOIN ETPOE",ETFs,"sonstige ETFs"
CH1194038571,A3G0BJ,"21SHARES ETHEREUM ETPOE",ETFs,"sonstige ETFs"
CH1199067674,A3GZ2Z,"21SHARES BITCOIN ETP OE",ETFs,"sonstige ETFs"
CH1209763130,A3G04G,"21SHARES ETH CORE ETP OE",ETFs,"sonstige ETFs"
CH1210548884,A3G04F,"21SHARES SHORT ETH ETP OE",ETFs,"sonstige ETFs"
CH1210548892,A3G10R,"21SHARES CRYPTO ETPOE",ETFs,"sonstige ETFs"
DE0002635265,263526,ISHARESJUMPFANDB,ETFs,"ETFs Europa Bonds"
DE0002635273,263527,"DIVDAX EX FD",ETFs,"ETFs Deutschland"
DE0002635281,263528,"DJ SX5E DIV 30EX",ETFs,"ETFs Europa Gesamt"
DE0002635299,263529,"ISHARES DJ STOXX SEL. DIV.",ETFs,"ETFs Europa Gesamt"
DE0002635307,263530,"ISHARES DJ STOXX 600 (DE)",ETFs,"ETFs Europa Gesamt"
DE0005933923,593392,"MDAX EX",ETFs,"ETFs Deutschland"
DE0005933931,593393,"ISHS CORE DAX UC.ETF EOA",ETFs,"ETFs DAX"
DE0005933949,593394,"ISH.STOXX EUROPE 50 U.ETF",ETFs,"ETFs Europa Gesamt"
DE0005933956,593395,"ISH.CORE EO STOX.50 U.ETF",ETFs,"ETFs Europa Gesamt"
DE0005933964,593396,"ISHARES SLI UCITS ETF DE",ETFs,"ETFs Europa Gesamt"
DE0005933972,593397,"TECDAX EX",ETFs,"ETFs Deutschland"
DE0005933980,593398,"ISHARES DJ STOXX LARGE 200 (DE)",ETFs,"ETFs Europa Gesamt"
DE0005933998,593399,"ISH. DJ STOXX MID 200(DE)",ETFs,"ETFs Europa Gesamt"
DE0006289309,628930,"ISH. EURO STOXX BANKS(DE)",ETFs,"ETFs Branchen"
DE0006289382,628938,"IS.DJ GLOB.TITAN.50 U.ETF",ETFs,"ETFs Nordamerika"
DE0006289390,628939,"IS.DJ INDUST.AVERAG.U.ETF",ETFs,"ETFs Nordamerika"
DE0006289465,628946,"ISH.EB.REXX GOVERNM.GERM.",ETFs,"ETFs Europa Bonds"
DE0006289473,628947,"ISH. EB.R.GOV.GER.1.5-2.5",ETFs,"ETFs Europa Bonds"
DE0006289481,628948,"ISH. EB.R.GOV.GER.2.5-5.5",ETFs,"ETFs Europa Bonds"
DE0006289499,628949,"ISH. EB.R.GOV.GER5.5-10.5",ETFs,"ETFs Europa Bonds"
DE000A0D8Q07,A0D8Q0,"ISHARES EURO STOXX U.ETF",ETFs,"ETFs Europa Gesamt"
DE000A0D8Q23,A0D8Q2,"ISHARES ATX UCITS ETF",ETFs,"ETFs Europa Gesamt"
