ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
US4269271098,924039,"HERITAGE COMMERCE","Aktien USA","Aktien USA Select"
US42704L1044,A2ALR9,"HERC HOLDINGS INC. DL-, 01","Aktien USA","Aktien USA Select"
US4270965084,A0ERTZ,"HERCULES CAP INC. DL-, 001","Aktien USA","Aktien USA Select"
US4277461020,A1XB6K,"HERON THERAPEUTICS DL-, 01","Aktien USA","Aktien USA Select"
US4278255009,A14VPH,"HERSHA HOSPIT.TR. SBI A","Aktien USA","Aktien USA Select"
US4278661081,851297,HERSHEY,"Aktien USA","Aktien USA Select"
US42805E3062,A1H5J3,"HESKA RESTR. NEW DL-, 001","Aktien USA","Aktien USA Select"
US42806J7000,A3CSN0,"HERTZ GL. HOLD. INC. NEW","Aktien International","Aktien International"
US42809H1077,A0JMQL,"HESS CORP","Aktien USA","Aktien USA Select"
US42824C1099,A140KD,"HEWLETT PACKARD ENTERPRISE","Aktien USA","Aktien USA Select"
US4282911084,894306,"HEXCEL CORP.      DL-, 01","Aktien USA","Aktien USA Select"
US4285671016,A0MK8D,"HIBBETT INC.        DL-01","Aktien USA","Aktien USA Select"
US43114Q1058,A2P9A4,"HIGHPEAK ENERGY DL-, 0001","Aktien USA","Aktien USA Select"
US4312841087,891252,"HIGHWOODS PROP.    DL-, 01","Aktien USA","Aktien USA Select"
US4315711089,A0NHFB,"HILLENBRAND IND.","Aktien USA","Aktien USA Select"
US4327481010,A0MX4M,"HILLTOP HLDGS INC. DL-, 01","Aktien USA","Aktien USA Select"
US43283X1054,A2AQ05,"HILTON GRAND VACAT. DL-01","Aktien USA","Aktien USA Select"
US43289P1066,A0JKBX,"HIMAX TECH.INC. ADR 1","Aktien USA","Aktien Dow Jones"
US4330001060,A2QMYY,"HIMS+HERS HERS A DL-, 0001","Aktien USA","Aktien USA Select"
US43300A2033,A2DH1A,"HILTON WORLDWIDE HOLDINGS INC.","Aktien USA","Aktien USA Select"
US4333231029,916685,"HINGHAM INSTN SVGS   DL 1","Aktien USA","Aktien USA Select"
US43358Y2028,A3DMJS,"HISTOGEN INC. DL-, 0001","Aktien USA","Aktien USA Select"
US4364401012,879100,"HOLOGIC INC.       DL-, 01","Aktien USA","Aktien USA Select"
US4370761029,866953,"HOME DEPOT INC. DL-, 05","Aktien USA","Aktien Dow Jones"
US43734L1061,A2QNKC,"HOME P.C. DL -, 0000000072","Aktien USA","Aktien USA Select"
US4380831077,A2JGTY,"HOMOLOGY MED. DL-, 0001","Aktien USA","Aktien USA Select"
US4380908057,A2N7M5,"HON HAI PR.IND.SP.GDR S/1","Aktien International","Aktien International"
US4381283088,858326,"HONDA MOTOR ADR/1O.N.","Aktien International","Aktien International"
US4385161066,870153,"HONEYWELL INTL DL1","Aktien USA","Aktien USA Select"
US43940T1097,A2APQQ,"HOPE BANCORP INC. DL-, 001","Aktien USA","Aktien USA Select"
US4403271046,882987,"HORACE MANN EDUC. DL-, 001","Aktien USA","Aktien USA Select"
US4404071049,347443,"HORIZON BANCORP INC.","Aktien USA","Aktien USA Select"
US4404521001,850875,"HORMEL FOODS CORP","Aktien USA","Aktien USA Select"
US44107P1049,918239,"HOST HOTELS+RESOR.DL 0, 01","Aktien USA","Aktien USA Select"
US4415931009,A14WN3,"HOULIHAN LOKEY A  DL-, 001","Aktien USA","Aktien USA Select"
US44183U2096,A2QAG9,"HOUSTON AMERN ENE.DL-, 001","Aktien International","Aktien International"
US4424874018,A2N69Z,"HOVNANIAN ENTER. A DL-, 01","Aktien USA","Aktien USA Select"
US44267D1072,A1C7ML,"HOWARD HUGHES CORP.DL-, 01","Aktien USA","Aktien USA Select"
US4432011082,A2PZ2D,"HOWMET AEROSPACE   DL-, 01","Aktien USA","Aktien USA Select"
US4433201062,899799,"HUB GROUP INC. A   DL-, 01","Aktien USA","Aktien USA Select"
US44332N1063,A2JN56,"HUAZHU GROUP SP.ADR/10","Aktien USA","Aktien USA Select"
US4435106079,A2ACSM,"HUBBELL INC.       DL-, 01","Aktien USA","Aktien USA Select"
US4435731009,A12CWQ,"HUBSPOT INC.      DL-, 001","Aktien USA","Aktien USA Select"
US4440971095,A1CZMY,"HUDSON PACIFIC PPT.DL-, 01","Aktien USA","Aktien USA Select"
US4448591028,856584,"HUMANA INC.       DL-, 166","Aktien USA","Aktien USA Select"
US4448632038,A2QEQW,"HUMANIGEN INC.    DL-, 001","Aktien USA","Aktien USA Select"
US4456581077,885365,"HUNT (J.B.) TRANS. DL-, 01","Aktien USA","Aktien USA Select"
US4461501045,867622,"HUNTINGTON BANCSHS DL-, 01","Aktien USA","Aktien USA Select"
US4464131063,A1JE8X,"HUNTINGTON INGALLS IND. INC.","Aktien USA","Aktien USA Select"
US4470111075,A0DQGM,"HUNTSMAN CORP.","Aktien USA","Aktien USA Select"
US4473241044,866378,"HURCO COS INC.","Aktien USA","Aktien USA Select"
