ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
JE00B3QSB726,A1EKYW,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"Other ETFs"
JE00B3R2DZ58,A1H28K,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3RNTN80,A1EKY1,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B3RQ6R05,A1H28C,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3S71Q64,A1H28B,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3SBFZ51,A1H0HQ,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3SBYQ91,A1EKY2,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B3SX3R93,A1E3HE,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3T3K772,A1H28H,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3VJDN05,A1H0H4,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3W0MY68,A1H0H0,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3WCLY57,A1H0H2,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3WDZY68,A1H28L,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3WFMB84,A1H0HV,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3WPFZ34,A1E3G3,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3X9GJ56,A1H0HR,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3XGSP64,A1EKYV,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B3XJ8K03,A1H0HU,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3XPTF07,A1H28J,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3XR4V72,A1E3HA,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3Y3SZ64,A1H0HN,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3Y5F176,A1H0HS,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B3ZQRP79,A1PCFL,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B438PT24,A1E3G2,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B43NB445,A1H0HY,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B44CBN95,A1H28D,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B44F1611,A1NZLC,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B45CYD99,A1C1T5,"WITR FOR.EXC.Z10/UN.CURR.",ETFs,"ETFs DAX"
JE00B460QR00,A1PEZY,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs Rohstoffe ETCs"
JE00B4PDKD43,A1NZLB,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B4RKQV36,A1NZLD,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B588CD74,A1DCTK,"WITR MET.SEC.Z09/UN.XAU",ETFs,"ETFs DAX"
JE00B5SV2703,A1NZLG,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B63MJ075,A1N9Z8,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B66M4S72,A1BEF2,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B6822V48,A1BEF1,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B68GR111,A1BEFD,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B68GRJ90,A1BEFE,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B68GS416,A1BEE9,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B68GSM94,A1BEFA,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B68GSP26,A1BEFH,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B68GT596,A1BEFJ,"WITR FOR.EXC.Z09/UN.CURR.",ETFs,"ETFs DAX"
JE00B6RV6N28,A1N90D,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B6SLJ210,A1PCFX,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B6SV8B36,A1RX1N,"WITR COM.SEC.Z12/UN. IND.",ETFs,"ETFs DAX"
JE00B6TK3K31,A1PCFK,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B6VG2P72,A1PCFH,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B6X05031,A1PCFY,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B6XF0923,A1NZLE,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B6XL6W59,A1PCFU,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B70DCH80,A1PCFM,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B7305Z55,A1N3G0,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B766LB87,A1N90E,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B78CGV99,A1N49M,"WITR COM.SEC.Z12/UN.INDEX",ETFs,"ETFs DAX"
JE00B78CP782,A1N49N,"WITR COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B78DPL57,A1TY7E,"WITR COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B78NNK09,A1NZLH,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B78NNM23,A1PCF0,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs DAX"
JE00B78NPW60,A1PCKA,"WITR H.COM.SEC.Z12/UN.IDX",ETFs,"ETFs Rohstoffe ETCs"
JE00B7VG2M16,A2BGRJ,WISDOMTREE.HMS.Z12/UN.XAU,ETFs,"ETFs DAX"
JE00B8DFY052,A1RX98,WISDOMTREE.HMS.Z12/UN.XAU,ETFs,"ETFs DAX"
JE00BDD9Q733,A2BC82,"WITR COM.SEC.Z08/UN.IDX",ETFs,"ETFs DAX"
JE00BDD9Q840,A2BC41,"WITR COM.SEC.Z08/UN.IDX",ETFs,"ETFs DAX"
JE00BDD9Q956,A2BC4J,"WITR COM.SEC.Z08/UN.IDX",ETFs,"ETFs DAX"
JE00BDD9QB77,A2BC83,"WITR COM.SEC.Z08/UN.IDX",ETFs,"ETFs DAX"
JE00BDD9QC84,A2BC84,"WITR COM.SEC.Z08/UN.IDX",ETFs,"ETFs DAX"
JE00BDD9QD91,A2BC4R,"WITR COM.SEC.Z12/UN.INDEX",ETFs,"ETFs DAX"
JE00BMM1WG41,A2AUTZ,"WITR FOR.EXC.Z15/UN.CURR",ETFs,"ETFs DAX"
JE00BMM1WH57,A2AUT1,"WITR FOR.EXC.Z15/UN.CURR",ETFs,"ETFs DAX"
JE00BMM1X163,A13X4H,"WITR FOR.EXC.Z14/UN.CURR.",Hebelprodukte,"sonstige Hebelprodukte"
JE00BMM1X270,A15L2D,WITR.FO.EXC.Z/UNDATED,Hebelprodukte,"sonstige Hebelprodukte"
JE00BMM1XC77,A12Z4E,"WITR FOR.EXC.Z14/UN.CURR.",ETFs,"ETFs DAX"
JE00BMM1XD84,A12Z4F,"WITR FOR.EXC.Z14/UN.CURR.",ETFs,"ETFs DAX"
JE00BMM1XM75,A2AUT2,"WITR FOR.EXC.Z15/UN.CURR",ETFs,"ETFs DAX"
JE00BMM1XN82,A2AUTY,"WITR FOR.EXC.Z15/UN.CURR",ETFs,"ETFs DAX"
JE00BMM1XY97,A2AUTX,"WITR FOR.EXC.Z15/UN.CURR",ETFs,"ETFs DAX"
JE00BMM1XZ05,A2AUT0,"WITR FOR.EXC.Z15/UN.CURR",ETFs,"ETFs DAX"
JE00BN2CJ301,A3GNFN,"WITR.MET.SEC.Z20/UNL XAU",ETFs,"ETFs DAX"
JE00BYQY3Z98,A17W84,"WITR COM.SEC.Z15/UN.IDX",Hebelprodukte,"sonstige Hebelprodukte"
JE00BYQY5Q48,A2AUT9,"WITR EQ.SEC.Z/UNDATED",Hebelprodukte,"sonstige Hebelprodukte"
JE00BYQY5X15,A2AUUA,"WITR EQ.SEC.Z/UNDATED",Hebelprodukte,"sonstige Hebelprodukte"
JE00BYQY7H96,A2AUT8,"WITR EQ.SEC.Z/UNDATED",Hebelprodukte,"sonstige Hebelprodukte"
JE00BYQY8102,A17X8F,"WITR EQ.SEC.Z/UNDATED",Hebelprodukte,"sonstige Hebelprodukte"
LU0136234068,794357,"UBS-EURO STOXX50UETF EOAD",ETFs,"ETFs EuroStoxx"
LU0136234654,794358,"UBS-MSCI USA U.E. DLAD",ETFs,"ETFs Nordamerika"
LU0136240974,794361,"MSCI JAPAN",ETFs,"ETFs Asien"
LU0136242590,794362,"UBS- FTSE 100",ETFs,"ETFs Länder Europa"
LU0147308422,633611,"UBS-ETF MSCI EMU",ETFs,"ETFs Europa Gesamt"
LU0192223062,A0ERY9,"BNP P.EASY-FTSE E./N.EURO.CAP.",ETFs,"ETFs Europa Gesamt"
LU0249326488,A0JK68,M.A.-R.INT.COM.IN.UETF,ETFs,"ETFs Basic Resources"
LU0252633754,LYX0AC,"LYXOR ETF DAX",ETFs,"ETFs DAX"
LU0252634307,LYX0AD,"LYXOR ETF LEVDAX",ETFs,"ETFs DAX"
LU0259322260,A0MMBG,"MA.-NYSE AR.GO.BU.IN.UETF",ETFs,"ETFs Basic Resources"
LU0274208692,DBX1MW,"DB X-TRACKERS MSCI WORLD TRN INDEX",ETFs,"ETFs Welt"
LU0274209237,DBX1ME,"DB X-TRACKERS MSCI EUROPE TRN INDEX ETF",ETFs,"ETFs Europa Gesamt"
LU0274209740,DBX1MJ,"DB X-TR MSCI JPN",ETFs,"ETFs Asien"
LU0274210672,DBX1MU,"DB X-TR MSCI USA",ETFs,"ETFs Nordamerika"
LU0274211217,DBX1EU,"DB X-TR DJES50",ETFs,"ETFs EuroStoxx"
LU0274211480,DBX1DA,"DB X-TR DAX",ETFs,"ETFs DAX"
LU0274212538,DBX1MB,"DB X-TRACKERS FTSE MIB INDEX",ETFs,"ETFs Länder Europa"
LU0274221281,DBX1SM,"DBX SMI TRACKER",ETFs,"ETFs Länder Europa"
LU0290355717,DBX0AC,"DB X-TRACKER IBOXX EUR SOV",ETFs,"ETFs Europa Bonds"
LU0290356871,DBX0AD,"DBX TRKS IBOXX SOVGS EUROZNE 1-3 TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0290356954,DBX0AE,"DB IBOXX",ETFs,"ETFs Europa Bonds"
LU0290357176,DBX0AF,"DBX TRKS IBOXX SOVGS EUROZNE 5-7 TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0290357259,DBX0AG,"DBX TRKS IBOXX SOVGS EUROZNE 7-10 TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0290357507,DBX0AJ,"DBX TRKS IBOXX SOVGS EUROZNE 15+ TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0290357846,DBX0AK,"DBX TRKS IBOXX SOVGS EUROZNE 25+ TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0290357929,DBX0AL,"XTR.II GL.INF.-LI.B.1CEOH",ETFs,"ETFs Europa Bonds"
LU0290358224,DBX0AM,"DBX TRKS IBOXX INFL.-LINKED TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0290358497,DBX0AN,"DBX TRKS EONIA TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0290358653,DBX0AP,"DBX TRKS ITRAXX EURP. 5-YEAR TR INDEX ETF",ETFs,"ETFs Europa Bonds"
